Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
49,MX-2011-127145,2018-06-12 00:00:00,2018-06-17 00:00:00,Standard Class,SF-20200,FUR-FU-10003608,26.76,2,0,7.48,2.04,High
51,MX-2011-168662,2018-10-13 00:00:00,2018-10-18 00:00:00,Second Class,KC-16255,OFF-SU-10003665,66.88,4,0,28.72,3.36,Medium
52,US-2011-150987,2018-04-02 00:00:00,2018-04-06 00:00:00,Second Class,DW-13480,TEC-CO-10003142,230.67252,3,0.402,-85.64748,9.81,Medium
53,US-2011-150987,2018-04-02 00:00:00,2018-04-06 00:00:00,Second Class,DW-13480,TEC-CO-10001756,172.43928,3,0.402,-3.48072,5.57,Medium
54,US-2011-150987,2018-04-02 00:00:00,2018-04-06 00:00:00,Second Class,DW-13480,OFF-AP-10004958,683.496,3,0.4,-79.764,50.13,Medium
55,US-2011-150987,2018-04-02 00:00:00,2018-04-06 00:00:00,Second Class,DW-13480,OFF-EN-10000755,27.72,2,0.4,4.12,1.6,Medium
58,MX-2011-137897,2018-05-17 00:00:00,2018-05-20 00:00:00,Second Class,JM-15580,TEC-PH-10000018,2124.5,5,0,488.6,447.66,High
59,US-2011-134950,2018-08-24 00:00:00,2018-08-28 00:00:00,Standard Class,PW-19240,OFF-AR-10001402,22.716,3,0.4,-11.784,1.58,High
61,MX-2011-155488,2018-10-21 00:00:00,2018-10-27 00:00:00,Standard Class,CC-12220,OFF-AP-10001723,63.54,1,0,20.96,4.42,Medium
67,MX-2011-165673,2018-05-31 00:00:00,2018-06-05 00:00:00,Standard Class,PB-19210,OFF-PA-10004385,17.96,2,0,5.72,2.03,High
68,MX-2011-165673,2018-05-31 00:00:00,2018-06-05 00:00:00,Standard Class,PB-19210,TEC-CO-10001978,635.6262,5,0.002,266.1262,18.26,High
