Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
7,MX-2013-134096,2020-09-27 00:00:00,2020-10-01 00:00:00,Standard Class,DP-13000,OFF-EN-10001375,56.12,2,0,21.32,4.11,Medium
8,MX-2013-134096,2020-09-27 00:00:00,2020-10-01 00:00:00,Standard Class,DP-13000,TEC-MA-10004956,344.64,3,0,165.42,26.2,Medium
9,MX-2013-134096,2020-09-27 00:00:00,2020-10-01 00:00:00,Standard Class,DP-13000,OFF-SU-10003474,97.36,4,0,19.44,6.86,Medium
10,MX-2013-134096,2020-09-27 00:00:00,2020-10-01 00:00:00,Standard Class,DP-13000,TEC-AC-10001830,341.52,2,0,13.64,17.34,Medium
11,MX-2013-134096,2020-09-27 00:00:00,2020-10-01 00:00:00,Standard Class,DP-13000,OFF-BI-10002075,12.06,3,0,3.48,1.13,Medium
12,MX-2013-156335,2020-03-05 00:00:00,2020-03-12 00:00:00,Standard Class,TB-21250,OFF-FA-10002526,20.76,3,0,9.54,0.65,Medium
13,MX-2013-156335,2020-03-05 00:00:00,2020-03-12 00:00:00,Standard Class,TB-21250,FUR-CH-10002846,210.64,4,0,50.48,16.07,Medium
17,US-2013-126655,2020-06-26 00:00:00,2020-07-01 00:00:00,Standard Class,HE-14800,OFF-EN-10000761,18.84,2,0.4,-6.6,1.6,Medium
18,US-2013-126655,2020-06-26 00:00:00,2020-07-01 00:00:00,Standard Class,HE-14800,FUR-FU-10003066,308.28,7,0.4,-149.1,27.77,Medium
19,US-2013-126655,2020-06-26 00:00:00,2020-07-01 00:00:00,Standard Class,HE-14800,OFF-EN-10000075,40.176,2,0.4,-6.064,2.14,Medium
20,US-2013-126655,2020-06-26 00:00:00,2020-07-01 00:00:00,Standard Class,HE-14800,OFF-EN-10002226,8.784,3,0.4,-4.836,0.38,Medium
21,MX-2013-167759,2020-12-19 00:00:00,2020-12-25 00:00:00,Standard Class,JE-15610,FUR-CH-10002132,273.472,4,0.2,95.712,48.17,Low
22,MX-2013-163139,2020-10-29 00:00:00,2020-11-02 00:00:00,Second Class,TB-21055,TEC-AC-10002749,27,1,0,5.94,3.9,High
23,MX-2013-163139,2020-10-29 00:00:00,2020-11-02 00:00:00,Second Class,TB-21055,OFF-SU-10000066,207,9,0,66.24,37.86,High
28,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,OFF-BI-10003709,141.288,7,0.4,-73.052,9.47,Medium
29,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,OFF-FA-10003529,21.84,4,0.4,-3.28,1.09,Medium
30,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,TEC-PH-10002483,114.816,4,0.4,-49.824,5.92,Medium
31,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,OFF-AR-10002055,19.272,2,0.4,2.872,1.84,Medium
32,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,OFF-AP-10000023,152.28,5,0.4,-99.02,16.25,Medium
33,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,TEC-CO-10004904,941.77824,8,0.402,-601.74176,80.28,Medium
34,US-2013-167129,2020-05-24 00:00:00,2020-05-31 00:00:00,Standard Class,SC-20050,OFF-AR-10000404,10.416,1,0.4,-0.704,0.93,Medium
42,MX-2013-121839,2020-06-17 00:00:00,2020-06-21 00:00:00,Second Class,RW-19690,TEC-PH-10001288,346.08,4,0,155.68,33.64,High
56,MX-2013-156013,2020-05-31 00:00:00,2020-06-05 00:00:00,Standard Class,DS-13030,OFF-FA-10003529,21.84,3,0.2,3,0.89,Medium
57,MX-2013-156013,2020-05-31 00:00:00,2020-06-05 00:00:00,Standard Class,DS-13030,FUR-BO-10000734,200.544,4,0.4,-13.376,13.97,Medium
60,MX-2013-152611,2020-10-11 00:00:00,2020-10-17 00:00:00,Standard Class,DS-13030,TEC-PH-10003416,391.32,9,0,144.72,28.18,Medium
69,MX-2013-164021,2020-07-23 00:00:00,2020-07-29 00:00:00,Standard Class,BM-11140,FUR-BO-10004113,874.68,3,0,411.06,164.45,Low
70,MX-2013-164021,2020-07-23 00:00:00,2020-07-29 00:00:00,Standard Class,BM-11140,FUR-FU-10001583,75.96,6,0,37.92,10.1,Low
84,MX-2013-119970,2020-06-25 00:00:00,2020-07-01 00:00:00,Standard Class,MW-18220,OFF-ST-10000990,263.92,2,0,5.24,16.44,Medium
85,MX-2013-119970,2020-06-25 00:00:00,2020-07-01 00:00:00,Standard Class,MW-18220,OFF-SU-10004643,144.3,5,0,36,7.6,Medium
93,MX-2013-169292,2020-04-23 00:00:00,2020-04-27 00:00:00,Standard Class,AJ-10780,OFF-PA-10001385,58.9,5,0,15.3,4.1,High
94,MX-2013-169292,2020-04-23 00:00:00,2020-04-27 00:00:00,Standard Class,AJ-10780,OFF-EN-10002186,88.3,5,0,8.8,10.86,High
95,MX-2013-169292,2020-04-23 00:00:00,2020-04-27 00:00:00,Standard Class,AJ-10780,OFF-FA-10004781,17.68,2,0,2.28,2.83,High
99,US-2013-125892,2020-08-08 00:00:00,2020-08-10 00:00:00,First Class,NW-18400,FUR-CH-10004725,92.304,3,0.2,-3.516,28.03,Critical
100,US-2013-125892,2020-08-08 00:00:00,2020-08-10 00:00:00,First Class,NW-18400,OFF-PA-10003224,84.96,6,0.2,-5.4,18.58,Critical
101,MX-2013-158533,2020-12-13 00:00:00,2020-12-18 00:00:00,Second Class,JL-15850,TEC-AC-10001405,494.64,3,0,197.82,9,Medium
102,MX-2013-165708,2020-12-04 00:00:00,2020-12-09 00:00:00,Standard Class,CG-12040,OFF-FA-10003496,39.4,5,0,5.1,3.46,Medium
103,US-2013-103051,2020-11-04 00:00:00,2020-11-10 00:00:00,Standard Class,TB-21400,FUR-CH-10002547,244.56,5,0.2,-27.54,27.26,Low
104,US-2013-103051,2020-11-04 00:00:00,2020-11-10 00:00:00,Standard Class,TB-21400,OFF-AR-10001072,16.48,2,0,2.28,2.13,Low
105,MX-2013-151988,2020-11-30 00:00:00,2020-12-02 00:00:00,Second Class,PB-19150,OFF-EN-10002624,5.68,1,0,2.26,0.63,High
110,MX-2013-135895,2020-09-04 00:00:00,2020-09-04 00:00:00,Same Day,RS-19420,TEC-AC-10003681,48.16,2,0,13.48,12.21,High
113,US-2013-130631,2020-09-16 00:00:00,2020-09-21 00:00:00,Second Class,SW-20275,OFF-PA-10000318,66.948,7,0.4,-16.772,5.73,Medium
114,US-2013-130631,2020-09-16 00:00:00,2020-09-21 00:00:00,Second Class,SW-20275,OFF-PA-10002219,65.232,9,0.4,8.532,6.27,Medium
115,US-2013-130631,2020-09-16 00:00:00,2020-09-21 00:00:00,Second Class,SW-20275,OFF-ST-10003089,409.26,5,0.4,20.46,29,Medium
118,MX-2013-117471,2020-08-14 00:00:00,2020-08-18 00:00:00,Second Class,AG-10330,OFF-AP-10000329,1052.16,3,0,0,166.26,High
119,MX-2013-117471,2020-08-14 00:00:00,2020-08-18 00:00:00,Second Class,AG-10330,OFF-EN-10004870,184.66,7,0,33.18,23.34,High
120,MX-2013-117471,2020-08-14 00:00:00,2020-08-18 00:00:00,Second Class,AG-10330,OFF-FA-10004920,33.6,3,0,9.72,1.29,High
132,US-2013-130239,2020-11-14 00:00:00,2020-11-19 00:00:00,Standard Class,LP-17080,FUR-BO-10002992,966.4,5,0.2,-96.7,72.52,Medium
140,MX-2013-158071,2020-10-15 00:00:00,2020-10-19 00:00:00,Standard Class,MO-17500,TEC-MA-10002040,347.88,3,0,121.74,27,Medium
141,MX-2013-158071,2020-10-15 00:00:00,2020-10-19 00:00:00,Standard Class,MO-17500,OFF-BI-10004624,29.04,3,0,1.98,2.19,Medium
