Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
1,MX-2014-143658,2021-10-02 00:00:00,2021-10-06 00:00:00,Standard Class,SC-20575,OFF-LA-10002782,13.08,3,0,4.56,1.03,Medium
14,MX-2014-121923,2021-09-24 00:00:00,2021-10-01 00:00:00,Standard Class,PK-18910,OFF-EN-10004100,80.1,3,0,37.62,8.86,Low
15,MX-2014-135706,2021-10-18 00:00:00,2021-10-23 00:00:00,Standard Class,JK-15625,OFF-AR-10003914,132.64,4,0,35.76,6.2,Medium
16,MX-2014-135706,2021-10-18 00:00:00,2021-10-23 00:00:00,Standard Class,JK-15625,OFF-FA-10000038,12.94,1,0,1.02,0.46,Medium
24,US-2014-119753,2021-10-03 00:00:00,2021-10-08 00:00:00,Standard Class,DW-13195,OFF-BI-10003934,60.66,3,0.4,-20.22,4,Medium
26,MX-2014-120607,2021-06-18 00:00:00,2021-06-25 00:00:00,Standard Class,SP-20650,TEC-CO-10003541,326.18632,2,0.002,64.70632,16.78,Medium
27,MX-2014-120607,2021-06-18 00:00:00,2021-06-25 00:00:00,Standard Class,SP-20650,OFF-ST-10004296,80,5,0,34.4,5.08,Medium
35,MX-2014-100727,2021-05-15 00:00:00,2021-05-18 00:00:00,First Class,DM-13525,OFF-SU-10004480,300.72,14,0,129.08,21.22,High
36,MX-2014-100727,2021-05-15 00:00:00,2021-05-18 00:00:00,First Class,DM-13525,OFF-SU-10003162,138.18,7,0,53.76,19.54,High
37,MX-2014-100727,2021-05-15 00:00:00,2021-05-18 00:00:00,First Class,DM-13525,OFF-SU-10002521,90.8,4,0,31.76,21.76,High
38,MX-2014-154739,2021-07-04 00:00:00,2021-07-07 00:00:00,Second Class,SC-20440,FUR-TA-10004531,529.32,3,0,264.66,94.28,High
39,MX-2014-154739,2021-07-04 00:00:00,2021-07-07 00:00:00,Second Class,SC-20440,FUR-BO-10002679,333.6,4,0,106.72,45.85,High
40,MX-2014-154739,2021-07-04 00:00:00,2021-07-07 00:00:00,Second Class,SC-20440,OFF-FA-10004587,42.72,4,0,0.4,6.97,High
